time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2023-11-15 16:14:01.372 UTC, , , , , , , , , ,589,3283261,135936,1008, ,11, ,39, , , , , , , , , ,11,11, , , ,1,2,14, ,23, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,109946,610768912384,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,109946,1700064241281,,, , , , , , , , , ,3145728,109916,2,2,1,2, , , ,1,1, ,1, ,3,2, , , , , , , , , , , , ,2726,3, , , , , , , , ,190589040, , , , , , , ,45, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,4, , ,10,4,1, , , , , , , , , 
2023-11-15 16:15:01.376 UTC, , , , , , , , , ,589,3283261,135936,1008, ,11, ,1, , , , , , , , , ,11,11, , , ,1,2,14, ,1, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,109946,609924874240,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,109946,1700064241281,,, , , , , , , , , ,3145728,109916,0,0,0,0, , , , , , , , ,3,1, , , , , , , , , , , , , , , , , , , , , , ,219949168, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , 
2023-11-15 16:16:01.380 UTC, , , , , , , , , ,589,3283261,135936,1008, ,11, ,1, , , , , , , , , ,11,11, , , ,1,2,14, ,1, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,109946,609122910208,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,109946,1700064241281,,, , , , , , , , , ,3145728,109916,0,0,0,0, , , , , , , , ,3,1, , , , , , , , , , , , , , , , , , , , , , ,240920688, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , 
2023-11-15 16:17:01.384 UTC, , , , , , , , , ,589,3283261,135936,1008, ,11, ,993, , , , , , , , , ,11,11, , , ,1,2,14, ,1078, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,109946,608234831872,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,109946,1700064241281,,, , , , , , , , , ,3145728,109916,0,0,0,0, , , , , , , , ,3,1, , , , , , , , , , , , , , , , , , , , ,16,16,186943104, , , , , , , ,1084, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,94,984,1, , , , , , , , , , 
2023-11-15 16:18:01.387 UTC, , , , , , , , , ,589,3283261,135936,1008, ,11, ,994, , , , , , , , , ,11,11, , , ,1,2,14, ,1079, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,109946,607874777088,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,109946,1700064241281,,, , , , , , , , , ,3145728,109916,0,0,0,0, , , , , , , , ,3,2, , , , , , , , , , , , , , , , , , , , ,22,20,338177728, , , , , , , ,1085, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,94,985,1, , , , , , , , , , 
2023-11-15 16:19:01.391 UTC, , , , , , , , , ,589,3283261,135936,1008, ,11, ,1987, , , , , , , , , ,11,11, , , ,1,2,14, ,2157, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,109946,607582617600,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,109946,1700064241281,,, , , , , , , , , ,3145728,109916,1,1,0,1, , , , , , , , ,3,2, , , , , , , , , , , , , , , , , , , , ,24,21,267256976, , , , , , , ,2169, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,188,1968,3, , , , , , , , , , 
2023-11-15 16:20:01.394 UTC, , , , , , , , , ,589,3283261,135936,1008, ,11, ,2979, , , , , , , , , ,11,11, , , ,1,2,14, ,3234, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,109946,607061475328,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,109946,1700064241281,,, , , , , , , , , ,3145728,109916,0,0,0,0, , , , , , , , ,3,1, , , , , , , , , , , , , , , , , , , , ,14,13,259226712, , , , , , , ,3252, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,282,2952,3, , , , , , , , , , 
2023-11-15 16:21:01.397 UTC, , , , , , , , , ,589,3283261,135936,1008, ,11, , , , , , , , , , , ,11,11, , , ,1,2,14, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,109946,606466408448,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,109946,1700064241281,,, , , , , , , , , ,3145728,109916, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,271809624, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-11-15 16:22:01.406 UTC, , , , , , , , , ,589,3283261,135936,1008, ,11, , , , , , , , , , , ,11,11, , , ,1,2,14, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,109946,605785096192,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,109946,1700064241281,,, , , , , , , , , ,3145728,109916, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,280198232, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-11-15 16:23:01.409 UTC, , , , , , , , , ,589,3283261,135936,1008, ,11, , , , , , , , , , , ,11,11, , , ,1,2,14, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,109946,605107126272,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,109946,1700064241281,,, , , , , , , , , ,3145728,109916, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,288586840, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
