numero_college,nom_etablissement,note_a_l_ecrit_g,va_de_la_note_g,pourcentage_hors_segpa_hors_ulis,pourcenetage_allemand_lv1,pourcentage_filles,ips,ecart_type_de_l_ips,ep_2022_2023,region_academique
0450840U,Collège Paul Eluard,9.7,0.1,84.756097560975609756000,0.000000000000000000000,45.121951219512195122000,80.1,28.9,REP,CENTRE-VAL-DE-LOIRE
0451544J,Collège André Chêne,9.1,-1.0,100.000000000000000000000,0.000000000000000000000,50.331125827814569536000,92.0,29.6,HORS EP,CENTRE-VAL-DE-LOIRE
0450789N,Collège Le Grand Clos,10.1,-0.4,98.319327731092436975000,0.000000000000000000000,52.941176470588235294000,86.9,32.5,REP,CENTRE-VAL-DE-LOIRE
0450069F,Collège Max Jacob,9.9,0.5,92.792792792792792793000,0.000000000000000000000,40.540540540540540541000,89.3,27.5,REP,CENTRE-VAL-DE-LOIRE
6200040Z,Collège Léon Boujot,10.8,1.2,100.000000000000000000000,0.000000000000000000000,41.899441340782122905000,96.7,28.1,REP,CORSE
6200041A,Collège Jean Nicoli,11.2,0.6,97.260273972602739726000,0.000000000000000000000,43.835616438356164384000,97.9,27.5,REP,CORSE
7200013B,Collège Montesoro,12.1,0.5,89.949748743718592965000,0.000000000000000000000,47.236180904522613065000,93.2,31.0,REP,CORSE
7200086F,Collège du Fiumorbo,10.7,0.9,97.989949748743718593000,0.000000000000000000000,46.733668341708542714000,93.1,30.1,REP,CORSE
0541211Y,Collège Émile Gallé,10.9,0.1,100.000000000000000000000,0.000000000000000000000,44.852941176470588235000,106.5,32.6,HORS EP,GRAND-EST
0540047H,Collège Victor Prouvé,12.4,-0.3,95.652173913043478261000,0.000000000000000000000,50.724637681159420290000,110.6,40.3,HORS EP,GRAND-EST
0541469D,Collège La Fontaine,10.2,1.3,98.275862068965517241000,0.000000000000000000000,60.344827586206896552000,68.8,18.7,REP+,GRAND-EST
0540088C,Collège Anatole France,9.2,0.5,100.000000000000000000000,0.000000000000000000000,58.928571428571428571000,77.1,18.8,REP,GRAND-EST
0572690P,Collège Jacques-Yves Cousteau,9.9,-0.5,93.388429752066115702000,95.041322314049586777000,57.024793388429752066000,78.1,28.9,REP,GRAND-EST
0572491Y,Collège Robert Schuman,11.5,1.1,100.000000000000000000000,32.075471698113207547000,52.830188679245283019000,78.4,27.4,REP+,GRAND-EST
